W1,W2,W3,W4,W5,W6,A,Y
0,1,1,-1.6421272009522956,-0.45330541587434314,-2.1433692021937496,0,0
0,1,0,-1.1531270119690558,0.28283339290259446,-2.892660825532795,0,0
1,0,1,0.20131626071704634,0.09165758584126486,-0.6169682201109311,0,0
0,1,1,1.398565859700187,1.4396767205151964,0.12597938729788005,0,0
0,1,1,0.7228732781145771,1.562019163751696,0.12729264683472996,1,0
0,1,1,-1.0717236113667876,-0.11490182091008144,-1.8255022635065554,1,1
0,1,0,-0.5673344421667272,0.41173407701356773,0.8410454561975278,0,1
1,0,1,-0.36634990636507936,1.0003108526181363,-0.00979829889855438,1,0
0,0,0,-1.5460347243322263,-0.3775807842791851,-1.2330923557269697,1,1
0,0,0,2.0406947377801132,1.7026818806445492,0.6609106277145453,1,1
1,0,0,-0.496020610236695,1.9939162001208128,1.0840728241717688,1,1
1,1,1,-0.6131668118319032,0.32099059955520887,-1.0064443914683516,1,1
0,1,1,-1.7449681921852862,-0.7236344991261578,-2.0214204930392707,0,0
1,0,1,0.18407413228681194,1.0384438801964329,1.2059208989488552,1,1
0,0,0,-0.07954522140454678,-0.346521575151434,-0.44366939899131136,1,1
1,0,1,1.240629619296457,-0.3534618758456578,2.6297161619392675,0,1
1,0,1,0.8625737778042016,0.265274408355645,1.1514487418837565,0,1
0,1,0,-0.12390740139756462,1.27030290215904,0.41037942098721086,1,1
1,0,0,0.585476440008347,0.01465047034380217,0.1651487379606048,1,1
0,0,0,1.9336815387754174,2.355541229174541,2.5392452392831233,0,1
1,1,0,-0.7322524941845361,-1.591787726402281,-1.0471242613511094,0,1
0,0,0,-0.39205000815885616,-1.4875828946269423,0.5731195664218176,1,1
0,1,0,0.7512151844515308,-1.0857333171728771,-2.2102404019540254,1,1
0,1,0,-0.5947453010361162,-0.43111557169019343,-1.0907068950182501,0,0
0,1,1,0.475317258695806,0.7638952762095477,2.8130117165565967,0,0
1,0,0,-1.0835930156560454,-0.8068216757792166,-0.3331080569392765,0,1
0,1,0,0.8228397668612474,0.414670117475916,-0.7340879321669354,1,1
0,0,0,0.7047717761242356,-0.8272431193160693,-0.045102954632604775,0,1
0,1,1,-0.5854342913275612,-2.8387315239683675,-0.6802059856398357,1,1
0,0,0,-1.2699409029426747,0.09041045249159105,-1.5861130093339377,1,0
0,1,1,0.32552734660505384,-0.6176564073661656,0.07524534955549686,0,0
0,0,1,0.04573687169336308,-0.17171558390145772,2.6528355023624224,1,1
1,0,1,-1.3662462572560377,0.19959827964177598,-0.48647450764447864,0,1
0,0,0,1.020269240739287,0.37990135260474794,0.5535185855475719,0,0
1,1,1,-0.731062569588089,-0.5806281220548412,-0.8829655813214095,1,1
0,1,0,1.4967119558964186,-0.7898748930832099,-0.11696878837890945,1,1
1,1,1,1.343316499274114,-0.6446598902008154,-0.08442574324470736,1,1
1,0,0,0.25663714688340916,-0.606821589663987,-0.27097331387320245,1,1
0,1,0,0.7346150345718113,0.3162000453440731,1.1643594511529862,0,1
1,0,1,-1.4332650999768792,-0.35617085418974614,-1.228285959910099,0,0
1,0,1,0.017831225630082378,-0.5857569978541174,-0.479158885809017,0,1
1,0,1,0.568641805437405,-2.050408487992573,-0.7024918694077642,1,1
1,1,1,-1.2639749889746896,-1.6669302931497478,-2.4099953833932837,0,1
0,1,0,-1.4590293531182534,0.7172459259879066,-1.61214083794003,1,1
1,0,0,1.5906598855181908,-0.6378479475577719,-0.02999833636358329,1,1
0,1,1,0.4026280723918795,0.06583347472388941,0.9254720960779781,0,0
0,1,1,1.4249133372809903,0.7635141100202681,1.570481824416272,1,1
1,0,0,1.00198120197819,-1.7468316724334623,-1.9105190149233189,0,1
1,1,0,-2.8192684906359404,-0.2305983859114193,-0.39193840041082306,0,1
1,0,0,-1.1228612410453702,-2.325703649275872,-0.3303178428559177,1,1
1,0,1,-0.15232093230759164,-0.08573481450085073,-0.11153042596042229,0,1
0,1,1,0.05565354708309155,0.5929546684579483,0.7548301103363588,1,1
0,0,1,0.137874942919374,2.0532613836339255,3.114174778994369,1,0
1,1,1,-0.6750630208644234,-0.3246328874442255,0.010205637391689781,0,0
0,1,0,-0.08856219986121784,-1.2113507751141268,-1.898201657106763,1,1
0,1,1,-1.015108689505118,0.32378024503383257,0.6477579353763397,1,1
0,0,1,1.2861382529542338,-0.04263560826975404,0.3446360251723053,1,1
0,1,0,-0.9708001505006844,1.362597550450378,0.42343040635974016,0,1
1,1,1,-0.5777680072662703,-0.10239452187152923,0.28489030938423177,0,0
1,0,1,0.891728489748308,0.4985224615117025,-0.07762905452181768,1,0
1,0,1,-0.5625891584207707,-2.340306821689795,-2.296769406894559,0,0
1,0,0,0.17654420757969203,-0.3035958757230168,1.1419718137529842,1,1
1,1,1,-0.9055265601175291,1.1232146945886594,-0.9308801242084151,1,1
0,0,0,-0.0368937207429153,0.41064790469481754,0.533174283956738,0,0
0,1,1,0.4094552652345265,0.30693886265525855,0.46124518489584526,1,0
1,0,0,-1.529801767402114,0.022123640158344407,-1.406003008141068,0,0
0,0,0,-1.6785624527441492,1.5879085979712195,1.0208094761611775,0,0
0,1,0,-1.167330018546317,-0.17241021969164258,1.5494926186445375,1,1
1,1,1,0.8260155634540104,0.7800520458865695,0.2585851020860459,0,1
0,0,0,0.5470731992272474,-0.6341279712221284,-1.2042816736463473,0,0
1,0,1,0.8330185890439177,1.2140944995370127,3.54996254487961,0,1
0,1,1,1.4913897159044267,0.5375862589335864,1.7661452051377873,0,1
0,1,0,-0.40168818904853354,-0.2176834968255092,-1.240691362118885,1,1
0,1,0,-0.7274709324788167,1.745268437400901,0.5838804414589345,1,1
1,1,1,-0.11751055148168439,0.9664989914895061,0.6398285424538734,0,1
1,0,1,0.2418469808969995,0.2828264214171398,0.0687692223393718,1,1
0,0,0,1.0988868916768586,0.6330227800426161,0.15709035591760467,1,1
0,0,0,0.13304985355814108,0.07905399654897625,-0.25899191790582154,1,1
1,1,1,0.5696497277120844,-0.6884857041435142,0.14664210219818705,1,1
0,0,0,-0.5929545920976907,0.19123781813958907,-0.4289222244501888,0,0
1,1,1,-1.592815494379679,1.4459820199197795,-1.1004333714521,1,0
0,1,0,1.882159772756061,-0.8616304640077315,0.9376163299700633,1,1
1,0,0,0.16079957367862624,-0.4060379472909124,0.71418719049964,0,0
0,0,1,-0.3587342124881809,0.6403738112217879,-0.6208274053207086,0,0
0,0,0,0.1410189732831648,-1.2221325661500557,1.8713122198336203,0,0
0,1,0,2.2665713285740927,-0.5730130692172171,0.9340024657098871,0,1
0,0,0,-0.45866783653659293,-0.17070160586059746,1.5376846716927746,0,0
1,1,1,-0.43662875353328057,0.9327538583534857,-0.9412333960484451,0,0
1,0,1,-0.7258412092266159,-0.6780298615922257,-0.1689790598946963,0,1
0,1,0,-0.39234698187240585,-1.087385734009858,-0.04166987300392866,1,1
0,0,1,-1.9833695176662123,-0.33460007180623086,-0.5041873963321101,0,1
0,0,1,1.2872281912066268,1.155352872515722,1.9473293361160744,1,1
1,1,0,0.025894711406744646,-0.738860189415856,-2.028729996838616,1,1
1,1,1,-0.877869053130735,-1.041597473983371,-3.060858503977633,1,1
0,1,0,1.1194262610445438,0.14313852926351062,1.2989742738951477,1,1
