W1,W2,W3,W4,W5,W6,A,Y
1.0,1.0,0.0,1.5348261058584798,-0.0984547982883394,0.8442885520873785,0,1
1.0,0.0,1.0,-0.5795200496987456,0.659470499094878,-0.1094303798288652,0,0
1.0,1.0,0.0,-1.069236800876201,0.9477057380096302,-1.0537041101910256,1,1
0.0,1.0,1.0,0.2964451499679723,-1.0478562222753989,-0.7178056550729393,1,1
1.0,0.0,0.0,-0.2048291497671528,0.6737763906999994,-1.1439171043838727,0,0
0.0,1.0,1.0,-0.085733311756916,0.089606645387612,-0.719244313581406,1,1
0.0,0.0,0.0,-1.934319373182553,0.132252699132363,1.837279715603074,0,1
1.0,0.0,1.0,-0.823529418139469,-1.7346585479810928,-1.1510890099932884,0,0
0.0,1.0,1.0,-0.7232748193731141,-0.574283527495074,-0.5967970990894284,1,1
0.0,0.0,0.0,0.07495040973322,-0.0393500963333216,-0.276049978823073,1,1
0.0,0.0,1.0,1.1366402913658884,-0.0774816709037276,-0.7555246243416907,0,0
0.0,1.0,1.0,-1.240981387408888,-0.2459417056969594,-0.6864854499630395,1,1
0.0,1.0,0.0,-0.867877283900997,-0.911610385492958,-2.760437228568758,0,0
0.0,1.0,1.0,-0.5648922642558589,-0.7028242719295907,0.274720978828061,0,1
0.0,1.0,1.0,1.1599362445790895,-0.310617074868758,0.2824474769845035,0,0
0.0,0.0,0.0,1.948464353497654,1.113375622363669,1.2517949150830936,0,0
1.0,0.0,0.0,0.7663435187372852,-0.3597180558585858,-0.7694096559045283,0,0
0.0,1.0,1.0,-1.090195801749391,0.078456597408595,-1.03471325585058,1,0
0.0,0.0,0.0,0.5856382641813694,-0.1486363550261908,-1.222883974498352,1,1
0.0,0.0,0.0,-0.9391594184579808,-0.811683948299723,-2.559064641636359,0,1
0.0,0.0,1.0,-1.8954608644769264,-0.7026835725275058,-1.2817228061033863,1,0
1.0,1.0,0.0,-0.5799066052859787,-1.330016061028576,-0.5697280778720398,0,1
0.0,0.0,0.0,-0.374499063033376,-0.1404108043210673,-0.5390857455979657,0,1
1.0,0.0,1.0,-0.9236866303829748,0.170421785838637,0.9929635677968758,1,0
0.0,0.0,0.0,-0.23339939009858,-0.1738743675330144,-0.844002433271202,0,1
1.0,0.0,0.0,-0.0981375148688943,0.293650662889098,0.132253589352778,0,1
0.0,1.0,0.0,-0.043624572030722,-0.723240313951801,-0.592612235570962,0,1
1.0,1.0,1.0,-0.7228534683558177,0.9121574182438176,-0.0796443713756956,0,1
0.0,0.0,1.0,0.1808480790598341,-0.5732903148635456,1.634319382973619,1,0
0.0,1.0,1.0,-0.8678388670489826,-0.009715280574368,0.772415204822027,1,0
1.0,1.0,1.0,-0.9990208024839008,-0.9999918518094596,-0.273964645138955,0,1
0.0,1.0,1.0,-1.939654357078954,-0.7087559076054393,-0.206894595298954,0,1
0.0,1.0,0.0,0.098147073747732,-0.5760807794803037,-1.5255374738371124,1,1
1.0,1.0,1.0,-0.601007314286099,-0.0140862619121716,0.60100632217068,1,1
0.0,1.0,1.0,-1.8950083248007048,-0.9236798559160198,-0.3587293589455978,0,1
1.0,0.0,1.0,0.04578057126889,0.2376402769493856,0.451774998390016,1,0
0.0,0.0,0.0,0.570109895472917,0.912474060295878,-0.2069370275020395,1,0
1.0,0.0,0.0,-2.0630678901209043,-0.4309259529193929,-1.650198475479835,1,1
0.0,0.0,1.0,-0.812143383279065,-0.9531117740016282,-0.749854390078954,0,1
1.0,1.0,1.0,-0.2023190145652964,-0.714212977644021,-0.2067868768908478,0,1
0.0,0.0,0.0,-0.0972740339600032,-0.954754073538656,0.430940540528513,1,1
1.0,0.0,0.0,-0.769077517755548,-0.6735880154346786,-0.923705585392538,0,0
1.0,1.0,1.0,-0.723702776704991,-1.1410334468156975,-2.553907942863536,1,1
0.0,0.0,0.0,-1.49349767973496,-0.8457973009902763,-0.056093228078436,1,1
0.0,1.0,0.0,0.8189850004948483,-0.1883226326833852,-0.6585182460359847,1,1
0.0,1.0,0.0,0.2370757995436393,-1.088559847531283,-1.133694000845461,0,1
1.0,1.0,1.0,-0.1914206744292314,-0.746327191278169,-0.480083170796302,1,1
0.0,0.0,0.0,0.966019305740368,0.5937487970876589,0.0662727606636361,0,0
0.0,0.0,0.0,0.193370110581147,1.077614715390898,1.2473135997300249,1,0
1.0,1.0,0.0,0.1808370452005215,-0.498801536438007,-0.9087989099139856,0,1
1.0,0.0,0.0,-0.4149285713755121,-1.1180571373402783,-0.98829360830929,1,1
0.0,1.0,1.0,-0.3935018318975742,0.8239159748252853,-0.99509074071697,0,0
0.0,1.0,1.0,-0.1025983583153386,0.96494186852415,1.3385351858581784,1,1
0.0,1.0,1.0,1.143371272450772,1.085733334605061,1.2970347239352238,1,1
0.0,0.0,1.0,-1.3933737862955295,-0.3836743650390013,0.916567975705522,1,1
1.0,0.0,1.0,0.1607931033687547,-0.5696101696845771,-0.8274963035780013,1,1
0.0,1.0,1.0,0.977410339779858,-0.1112332635985979,0.952660734759984,0,0
1.0,1.0,0.0,0.637154875353348,1.269320293800997,1.647777851413882,1,1
0.0,0.0,0.0,-0.9674132947161233,-0.7246979053360952,0.503545092948296,0,1
1.0,1.0,1.0,-0.2494106497635192,0.0134409645253984,-0.2493106497951299,0,0
1.0,1.0,1.0,-0.008946316796829,-0.0093274020708601,-1.4338387693859642,0,0
0.0,0.0,0.0,-0.7228734084579383,0.4205709977645077,-0.773129601452791,1,0
1.0,1.0,1.0,0.2833887978994368,-0.4988424590987816,-0.09744437882594,1,1
1.0,1.0,1.0,-0.847390255289317,-0.0805654068255879,-0.9796955854082964,1,1
0.0,1.0,1.0,0.8903901104107428,0.933800989125818,-0.683421020373856,0,1
1.0,0.0,0.0,-0.204769585029098,-0.81926326003074,0.639871109677905,1,1
0.0,0.0,1.0,0.9447578246078006,-0.547390255248885,-0.1333762055780151,0,1
0.0,1.0,0.0,0.923993339275701,-0.383932719384909,-0.3518423596716367,1,1
0.0,1.0,1.0,-0.7266594360858142,-0.8464446818094313,-1.097334562146776,1,1
1.0,0.0,1.0,1.720613253898491,-0.3909159430331584,0.9200543823605634,0,1
0.0,0.0,0.0,-1.4160405457365115,-0.0390749479412489,-0.3594286809545938,1,1
0.0,1.0,1.0,-0.9922910049490152,-1.133376991794705,0.8146779798064891,1,1
1.0,1.0,1.0,-0.2926990327490928,-1.1204103944578283,0.713879624405078,0,0
1.0,1.0,1.0,0.4309079909997267,-0.1407112890063672,1.835300688078978,1,1
1.0,1.0,1.0,-0.4860551815662054,-0.827023907977471,-0.776490267490546,0,1
1.0,0.0,0.0,-0.818224784870321,-0.572727078454976,-0.9393884684559596,0,0
1.0,0.0,0.0,2.357728839796625,-0.7234853439476876,0.106983189185856,0,0
1.0,0.0,0.0,-0.8473902553098273,-0.1386104545889828,-2.048542958543935,1,1
0.0,0.0,0.0,-0.47166936607056,-0.4832179846866164,0.951302903615555,1,1
0.0,1.0,0.0,-0.383643104121807,-0.547370495398656,0.869861814416071,0,0
1.0,1.0,0.0,-0.827889644106651,0.8947947097659742,-0.6569690799366036,1,1
0.0,1.0,0.0,-0.9348005437001344,-0.1423879610701256,0.5789449645390128,1,0
1.0,0.0,0.0,-1.0776406439203696,-1.492681807782625,-1.07697482399055,0,0
1.0,0.0,1.0,-1.8956349972639293,-0.08738646156798,-2.02687036493216,0,0
1.0,1.0,1.0,-0.4864381101295788,-0.494290294647254,-1.6501141415756078,0,0
0.0,0.0,0.0,0.09598627756975,-0.9950906806102296,-0.726995241879507,1,0
0.0,1.0,1.0,0.585637947165501,-1.1624287562859257,0.9276543349603888,0,1
1.0,1.0,1.0,1.223678006158639,-1.9797370347239795,-1.939298318975739,0,1
1.0,0.0,0.0,0.476090222425253,0.0871672404113968,1.504794722266919,1,1
1.0,0.0,1.0,-0.143375043212973,-1.188345422591208,-1.113676705724278,1,1
0.0,1.0,1.0,-2.93380054367645,-0.583614270077978,-1.14089639009984,0,0
0.0,0.0,0.0,-0.276499069455972,-0.9335054985029584,-0.8270291939333685,0,0
1.0,0.0,1.0,-0.330769574078002,-0.1383183068702904,-0.601006313851071,1,1
0.0,1.0,0.0,-0.3147457968791948,0.8188946351577703,0.966017078984789,1,1
0.0,1.0,1.0,-0.576052817305978,-0.2798010523951356,1.249670364927881,1,1
1.0,1.0,1.0,-0.827039303978008,-1.085734830363107,1.339468524507776,1,0
0.0,0.0,0.0,2.01676630692983,-0.6149746471672468,-0.7665559913853356,1,1
0.0,0.0,0.0,1.1179054015398484,-0.7728869444716353,0.383697349984646,0,0
0.0,0.0,0.0,0.6583153900640077,-0.31478024190878,0.813825179585119,1,1
0.0,1.0,1.0,-1.08960772696795,-0.9296541005335316,-2.0268666254565826,1,0
1.0,1.0,1.0,0.2214704069607056,-1.588524658005948,-0.571925618327096,0,0
0.0,1.0,0.0,0.641748494905982,-0.9230032558502212,-0.754280807596923,0,0
1.0,0.0,0.0,-0.3933756223675053,-0.827273966380013,-0.9674663711883622,0,1
1.0,1.0,0.0,-1.054947616304798,-1.1598480796498474,-0.995090700754948,1,1
1.0,0.0,1.0,0.39133395181316,0.353754749470269,0.9359401539974226,0,0
1.0,1.0,1.0,-0.064550753845268,-0.0125295858580099,-0.039095454273321,1,1
0.0,0.0,0.0,0.678909638367907,-0.597756745351715,-1.5392297799430823,0,1
0.0,1.0,0.0,-0.5443262523194948,0.9451325963725714,-0.4548245704171151,0,1
0.0,1.0,1.0,-0.273402926585048,0.844507128266283,0.7696979904378876,0,1
1.0,0.0,1.0,-0.7667679679438616,-1.05440310894238,-0.8926990426781167,1,1
0.0,1.0,0.0,-0.56740485662469,-0.723260965976002,0.8120294274652023,0,1
1.0,0.0,0.0,0.7523269908977285,-0.934750428502312,-1.65774048527427,1,1
0.0,0.0,0.0,-0.1569378401554313,-0.152054378099997,-0.494233902539509,0,0
0.0,1.0,1.0,0.053152439495968,-0.9276542003488784,0.076972978553689,0,0
1.0,0.0,0.0,0.817402826334097,0.015464148440507,0.9293931659371216,0,1
0.0,0.0,0.0,-1.3614059327646029,-0.6900182457355818,-0.708758026643615,1,1
0.0,1.0,0.0,-0.7233929494947784,-0.960327314691074,-0.564604809767898,0,1
0.0,1.0,0.0,0.5790294960571885,1.413301925294452,1.654518580051844,1,1
0.0,0.0,0.0,-0.204611179180879,0.3601216262445771,-0.5727659353339302,0,0
1.0,1.0,0.0,-0.7523204818762483,-0.8970291619402263,0.310526963534257,0,0
1.0,0.0,1.0,-0.8270291408580172,-0.5473902021096828,-1.0492833089091147,0,0
0.0,1.0,0.0,0.6458492858495938,0.939409327707675,-0.8684948859839534,1,0
0.0,1.0,0.0,-1.1706017046353483,-1.343454498358114,-1.452417107350425,1,1
0.0,0.0,0.0,0.2601673565332363,-1.1225194897496875,-0.8272425359677851,0,1
1.0,0.0,1.0,0.1063283927841836,1.2417111274120964,1.121340336123107,1,0
1.0,0.0,1.0,-1.283344990198477,-0.3860807687223682,-2.08890174799399,0,0
0.0,0.0,0.0,-0.6362457752764894,-0.0871924543669001,-0.205637124519597,1,1
1.0,1.0,1.0,-0.19384120692706,-0.5342593584098486,-0.2048205675352048,0,0
1.0,0.0,0.0,0.3913656583140746,-0.367569456605666,1.847904588983548,0,0
1.0,1.0,1.0,-0.8903074265879511,0.7228642677437194,-0.877880779545795,1,1
0.0,0.0,0.0,-1.0478563187066954,0.2494708524717574,-0.5854354264255801,1,1
0.0,0.0,0.0,-0.924234853798563,-0.0544039942372694,-0.14843727603397,0,0
1.0,1.0,0.0,-0.1604108043210492,0.1728294214999746,-0.5868457782605743,1,1
0.0,1.0,1.0,-0.043769550077316,-0.0478573902623382,0.722873243813876,1,1
0.0,0.0,0.0,1.087693657284522,-0.8270239303943467,0.29780041577284,1,1
0.0,1.0,1.0,0.492365353460454,-0.482936095471807,-0.508318244567845,0,0
0.0,1.0,1.0,-0.766555337800412,-0.0981325985851091,-0.5475042886435157,0,1
0.0,0.0,1.0,-0.182869713861667,0.233609236418355,-0.6634221555352058,0,1
0.0,0.0,0.0,1.49478529471695,-0.1409545436571336,-0.205739712253923,0,1
1.0,1.0,1.0,-0.107735019748492,-0.3929336350611793,-0.1688312921275004,0,1
1.0,0.0,0.0,0.8143782222688757,0.077628295851058,-0.586927586584016,0,0
1.0,1.0,1.0,-1.2323992857271775,-0.5833428044954213,0.8454958359858493,1,1
0.0,1.0,0.0,1.3586015058174057,1.967415954895407,0.5868796299600484,0,0
1.0,1.0,1.0,0.1090383923394976,0.282829585943301,0.2601351479494976,1,1
1.0,0.0,1.0,1.4989886962637695,-0.2898596786809419,-0.1383132281230591,0,0
0.0,1.0,1.0,-0.5679394097889905,-1.48364769285938,-1.979476033798436,1,1
0.0,0.0,0.0,-0.9556796898146078,-1.0875795061058142,-1.417968533393363,1,1
0.0,0.0,1.0,0.547649858338618,-0.3833946814846193,0.2363281129855442,1,1
0.0,1.0,0.0,-0.102392859779217,0.6570331723457984,0.940319917585119,1,1
0.0,0.0,0.0,0.2325935718543971,0.259470715245405,1.008569456158846,1,0
